Time,,Differential Pressure (PSI),,,,Absolute Pressure,,,Temperature (degC),,,,Inputs,,
Time Stamp,Time Elapsred (hrs),Section 1,Section 2,Section 3,Section 4,Inlet,Outlet,Confining,Room,Pore,Jacket,,Temp Setpoint (deg C),Pump Setpoint (PSI),Brine Salinity (%)
39:56.3,58.04,-0.12230849,2.34703574,2.67741576,-3.11883823,1416.770167,1365.727147,1984.859763,10.20701768,9.28015074,9.22944694,,,,
44:54.6,58.12,-0.24711688,2.35739804,2.94896702,-3.50682321,1417.354037,1365.657447,1984.859763,10.23278534,9.96794025,9.16436804,,,,
49:52.8,58.20,-0.52806075,2.42780514,3.2556887,-3.84186643,1417.872928,1365.542088,1984.859763,10.26103577,9.63178853,9.16841139,,,,
54:51.1,58.28,-0.07442769,2.39528977,2.91050085,-3.54381707,1418.300757,1365.540535,1984.859763,10.18821427,10.33208941,9.2132576,,,,
59:49.4,58.37,-0.21970036,2.36422289,2.7506319,-3.07569034,1418.78262,1365.481377,1984.859763,10.17830804,9.74759506,9.01711192,,,,
04:47.6,58.45,-0.41399183,2.32604499,2.65947287,-3.10781285,1419.210839,1365.291703,1984.859763,10.08220887,9.61953075,9.20560014,,,,
09:45.8,58.53,-0.76572326,2.54240881,3.26866277,-3.89133246,1419.883497,1365.055562,1984.859763,10.09477572,9.53457584,9.11956372,,,,
14:44.1,58.62,-1.03409352,2.40571687,3.85113636,-4.36886365,1420.389288,1364.829145,1984.859763,10.04250269,8.96521832,9.13759838,,,,
19:42.3,58.70,-0.7917473,2.48885842,3.8850239,-4.44615312,1421.402885,1365.031098,1984.859763,10.2010389,11.04896349,9.01104809,,,,
24:40.6,58.78,-0.84779464,2.38372051,3.7997505,-4.27220673,1421.906759,1364.844269,1984.859763,10.13590137,9.90160719,9.20896315,,,,
29:38.8,58.86,-1.0095325,2.60575727,3.90673014,-4.59613422,1422.529613,1364.76393,1984.859763,10.23597559,8.77538235,9.15853883,,,,
