3120000,  5250,   867, -1015,  6523, -2847, -1237,  -734,  1165,11111001, 0000341210,0251738550,R,L,-, 0000000000,0000697797,S,L,N, 0000000000,0266054687,S,L,N, 0000341210,  5250,0000000000,
3180000,  5250,   867, -1015,  6523, -2847, -1237,  -735,  1164,11111001, 0000066840,0251672652,R,L,-, 0000000000,0000697797,S,L,N, 0000000000,0266054687,S,L,N, 0000066840,  5250,0000000000,
3240000,  5250,   867, -1015,  6522, -2847, -1237,  -736,  1164,11111001, 0005866500,0251585469,R,L,-, 0000000000,0000697797,S,L,N, 0000000000,0266054687,S,L,N, 0005866500,  5250,0000000000,
3300000,  5250,   867, -1015,  6523, -2846, -1236,  -735,  1164,11111001, 0000119720,0251573896,R,L,-, 0000000000,0000697797,S,L,N, 0000000000,0266054687,S,L,N, 0000119720,  5250,0000000000,
3360000,  5250,   867, -1015,  6522, -2847, -1236,  -735,  1163,11111001, 0000472910,0251533721,R,L,-, 0000000000,0000697797,S,L,N, 0000000000,0266054687,S,L,N, 0000472910,  5250,0000000000,
3420000,  5250,   867, -1015,  6523, -2847, -1237,  -735,  1163,11111001, 0000019950,0251510691,R,L,-, 0000000000,0000697797,S,L,N, 0000000000,0266054687,S,L,N, 0000019950,  5250,0000000000,
3480000,  5253,   867, -1015,  6523, -2847, -1237,  -735,  1163,11111001, 0000000000,0251494279,R,L,-, 0000000000,0000697797,S,L,N, 0000000000,0266054687,S,L,N, 0000000000,  5253,0000000000,
3540000,  5250,   867, -1015,  6523, -2846, -1236,  -734,  1164,11111001, 0000000000,0251494046,R,L,-, 0000000000,0000697797,S,L,N, 0000000000,0266054687,S,L,N, 0000000000,  5250,0000000000,
3600000,  5250,   867, -1015,  6523, -2846, -1237,  -736,  1163,11111001, 0000375130,0251482938,R,L,-, 0000000000,0000697797,S,L,N, 0000000000,0266054687,S,L,N, 0000375130,  5250,0000000000,
3660000,  5250,   867, -1015,  6522, -2847, -1237,  -735,  1164,11111001, 0000000000,0251438374,R,L,-, 0000000000,0000697797,S,L,N, 0000000000,0266054687,S,L,N, 0000000000,  5250,0000000000,
3720000,  5250,   867, -1015,  6523, -2847, -1236,  -735,  1164,11111001, 0000000000,0251434566,R,L,-, 0000000000,0000697797,S,L,N, 0000000000,0266054687,S,L,N, 0000000000,  5250,0000000000,
3780000,  5250,   867, -1015,  6522, -2846, -1235,  -734,  1164,11111001, 0000000000,0251434350,R,L,-, 0000000000,0000697797,S,L,N, 0000000000,0266054687,S,L,N, 0000000000,  5250,0000000000,
3840000,  5250,   867, -1015,  6523, -2846, -1236,  -734,  1164,11111001, 0000000000,0251431806,R,L,-, 0000000000,0000697797,S,L,N, 0000000000,0266054687,S,L,N, 0000000000,  5250,0000000000,
3900000,  5250,   867, -1015,  6523, -2847, -1237,  -735,  1164,11111001, 0000000000,0251415094,R,L,-, 0000000000,0000697797,S,L,N, 0000000000,0266054687,S,L,N, 0000000000,  5250,0000000000,
3960000,  5250,   867, -1015,  6522, -2846, -1237,  -735,  1164,11111001, 0000000000,0251378678,R,L,-, 0000000000,0000697797,S,L,N, 0000000000,0266054687,S,L,N, 0000000000,  5250,0000000000,
4020000,  5250,   867, -1015,  6522, -2846, -1236,  -735,  1164,11111001, 0000658480,0251375585,R,L,-, 0000000000,0000697797,S,L,N, 0000000000,0266054687,S,L,N, 0000658480,  5250,0000000000,
4080000,  5250,   867, -1015,  6522, -2846, -1236,  -735,  1164,11111001, 0000002990,0251300358,R,L,-, 0000000000,0000697797,S,L,N, 0000000000,0266054687,S,L,N, 0000002990,  5250,0000000000,
